Date,Open,High,Low,Close,Adj Close,Volume
2023-12-28,194.139999,194.660004,193.169998,193.580002,192.848206,34049900
2023-12-29,193.899994,194.399994,191.729996,192.529999,191.802170,42628800
2024-01-02,187.149994,188.440002,183.889999,185.639999,184.938217,82488700
2024-01-03,184.220001,185.880005,183.429993,184.250000,183.553467,58414500
2024-01-04,182.149994,183.089996,180.880005,181.910004,181.222336,71983600
2024-01-05,181.990005,182.759995,180.169998,181.179993,180.495071,62303300
2024-01-08,182.089996,185.600006,181.500000,185.559998,184.858521,59144500
2024-01-09,183.919998,185.149994,182.729996,185.139999,184.440109,42841800
2024-01-10,184.350006,186.399994,183.919998,186.190002,185.486160,46792900
2024-01-11,186.539993,187.050003,183.619995,185.589996,184.888412,49128400
2024-01-12,186.059998,186.740005,185.190002,185.919998,185.217163,40444700
2024-01-16,182.160004,184.259995,180.929993,183.630005,182.935822,65603000
2024-01-17,181.270004,182.929993,180.300003,182.679993,181.989410,47317400
2024-01-18,186.089996,189.139999,185.830002,188.630005,187.916916,78005800
2024-01-19,189.330002,191.949997,188.820007,191.559998,190.835846,68741000
2024-01-22,192.300003,195.330002,192.259995,193.889999,193.157028,60133900
2024-01-23,195.020004,195.750000,193.830002,195.179993,194.442154,42355600
2024-01-24,195.419998,196.380005,194.339996,194.500000,193.764725,53631300
2024-01-25,195.220001,196.270004,193.110001,194.169998,193.435974,54822100
2024-01-26,194.270004,194.759995,191.940002,192.419998,191.692596,44594000
2024-01-29,192.009995,192.199997,189.580002,191.729996,191.005188,47145600
2024-01-30,190.940002,191.800003,187.470001,188.039993,187.329147,55859400
2024-01-31,187.039993,187.100006,184.350006,184.399994,183.702911,55467800
2024-02-01,183.990005,186.949997,183.820007,186.860001,186.153625,64885400
2024-02-02,179.860001,187.330002,179.250000,185.850006,185.147430,102518000
2024-02-05,188.149994,189.250000,185.839996,187.679993,186.970505,69668800
2024-02-06,186.860001,189.309998,186.770004,189.300003,188.584396,43490800
2024-02-07,190.639999,191.050003,188.610001,189.410004,188.693970,53439000
2024-02-08,189.389999,189.539993,187.350006,188.320007,187.608109,40962000
2024-02-09,188.649994,189.990005,188.000000,188.850006,188.376160,45155200
2024-02-12,188.419998,188.669998,186.789993,187.149994,186.680420,41781900
2024-02-13,185.770004,186.210007,183.509995,185.039993,184.575714,56529500
2024-02-14,185.320007,185.529999,182.440002,184.149994,183.687943,54630500
2024-02-15,183.550003,184.490005,181.350006,183.860001,183.398682,65434500
2024-02-16,183.419998,184.850006,181.669998,182.309998,181.852554,49701400
